World Bank list of economies (June 2017),,,,,,,,,,,
,,,,,,,,,,,
(Bold indicates a change of classification),,, ,,,,,,,,
,,,,,,,,,,,
x,x,Economy,Code,X,Region,Income group,Lending category,Other,,,
x,x,x,x,x,x,x,x,x,,,
1,,Afghanistan,AFG,,South Asia,Low income,IDA,HIPC,,,
2,,Albania,ALB,,Europe & Central Asia,Upper middle income,IBRD,,,,
3,,Algeria,DZA,,Middle East & North Africa,Upper middle income,IBRD,,,,
4,,American Samoa,ASM,,East Asia & Pacific,Upper middle income,..,,,,
5,,Andorra,AND,,Europe & Central Asia,High income,..,,,,
6,,Angola,AGO,,Sub-Saharan Africa,Lower middle income,IBRD,,,,
7,,Antigua and Barbuda,ATG,,Latin America & Caribbean,High income,IBRD,,,,
8,,Argentina,ARG,,Latin America & Caribbean,Upper middle income,IBRD,,,,
9,,Armenia,ARM,,Europe & Central Asia,Lower middle income,IBRD,,,,
10,,Aruba,ABW,,Latin America & Caribbean,High income,..,,,,
11,,Australia,AUS,,East Asia & Pacific,High income,..,,,,
12,,Austria,AUT,,Europe & Central Asia,High income,..,EMU,,,
13,,Azerbaijan,AZE,,Europe & Central Asia,Upper middle income,IBRD,,,,
14,,"Bahamas, The",BHS,,Latin America & Caribbean,High income,..,,,,
15,,Bahrain,BHR,,Middle East & North Africa,High income,..,,,,
16,,Bangladesh,BGD,,South Asia,Lower middle income,IDA,,,,
17,,Barbados,BRB,,Latin America & Caribbean,High income,..,,,,
18,,Belarus,BLR,,Europe & Central Asia,Upper middle income,IBRD,,,,
19,,Belgium,BEL,,Europe & Central Asia,High income,..,EMU,,,
20,,Belize,BLZ,,Latin America & Caribbean,Upper middle income,IBRD,,,,
21,,Benin,BEN,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
22,,Bermuda,BMU,,North America,High income,..,,,,
23,,Bhutan,BTN,,South Asia,Lower middle income,IDA,,,,
24,,Bolivia,BOL,,Latin America & Caribbean,Lower middle income,IBRD,HIPC,,,
25,,Bosnia and Herzegovina,BIH,,Europe & Central Asia,Upper middle income,IBRD,,,,
26,,Botswana,BWA,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
27,,Brazil,BRA,,Latin America & Caribbean,Upper middle income,IBRD,,,,
28,,British Virgin Islands,VGB,,Latin America & Caribbean,High income,..,,,,
29,,Brunei Darussalam,BRN,,East Asia & Pacific,High income,..,,,,
30,,Bulgaria,BGR,,Europe & Central Asia,Upper middle income,IBRD,,,,
31,,Burkina Faso,BFA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
32,,Burundi,BDI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
33,,Cabo Verde,CPV,,Sub-Saharan Africa,Lower middle income,Blend,,,,
34,,Cambodia,KHM,,East Asia & Pacific,Lower middle income,IDA,,,,
35,,Cameroon,CMR,,Sub-Saharan Africa,Lower middle income,Blend,HIPC,,,
36,,Canada,CAN,,North America,High income,..,,,,
37,,Cayman Islands,CYM,,Latin America & Caribbean,High income,..,,,,
38,,Central African Republic,CAF,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
39,,Chad,TCD,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
40,,Channel Islands,CHI,,Europe & Central Asia,High income,..,,,,
41,,Chile,CHL,,Latin America & Caribbean,High income,IBRD,,,,
42,,China,CHN,,East Asia & Pacific,Upper middle income,IBRD,,,,
43,,Colombia,COL,,Latin America & Caribbean,Upper middle income,IBRD,,,,
44,,Comoros,COM,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
45,,"Congo, Dem. Rep.",COD,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
46,,"Congo, Rep.",COG,,Sub-Saharan Africa,Lower middle income,Blend,HIPC,,,
47,,Costa Rica,CRI,,Latin America & Caribbean,Upper middle income,IBRD,,,,
48,,Côte d'Ivoire,CIV,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
49,,Croatia,HRV,,Europe & Central Asia,Upper middle income,IBRD,,,,
50,,Cuba,CUB,,Latin America & Caribbean,Upper middle income,..,,,,
51,,Curaçao,CUW,,Latin America & Caribbean,High income,..,,,,
52,,Cyprus,CYP,,Europe & Central Asia,High income,..,EMU,,,
53,,Czech Republic,CZE,,Europe & Central Asia,High income,..,,,,
54,,Denmark,DNK,,Europe & Central Asia,High income,..,,,,
55,,Djibouti,DJI,,Middle East & North Africa,Lower middle income,IDA,,,,
56,,Dominica,DMA,,Latin America & Caribbean,Upper middle income,Blend,,,,
57,,Dominican Republic,DOM,,Latin America & Caribbean,Upper middle income,IBRD,,,,
58,,Ecuador,ECU,,Latin America & Caribbean,Upper middle income,IBRD,,,,
59,,"Egypt, Arab Rep.",EGY,,Middle East & North Africa,Lower middle income,IBRD,,,,
60,,El Salvador,SLV,,Latin America & Caribbean,Lower middle income,IBRD,,,,
61,,Equatorial Guinea,GNQ,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
62,,Eritrea,ERI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
63,,Estonia,EST,,Europe & Central Asia,High income,..,EMU,,,
64,,Ethiopia,ETH,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
65,,Faroe Islands,FRO,,Europe & Central Asia,High income,..,,,,
66,,Fiji,FJI,,East Asia & Pacific,Upper middle income,IBRD,,,,
67,,Finland,FIN,,Europe & Central Asia,High income,..,EMU,,,
68,,France,FRA,,Europe & Central Asia,High income,..,EMU,,,
69,,French Polynesia,PYF,,East Asia & Pacific,High income,..,,,,
70,,Gabon,GAB,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
71,,"Gambia, The",GMB,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
72,,Georgia,GEO,,Europe & Central Asia,Lower middle income,IBRD,,,,
73,,Germany,DEU,,Europe & Central Asia,High income,..,EMU,,,
74,,Ghana,GHA,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
75,,Gibraltar,GIB,,Europe & Central Asia,High income,..,,,,
76,,Greece,GRC,,Europe & Central Asia,High income,..,EMU,,,
77,,Greenland,GRL,,Europe & Central Asia,High income,..,,,,
78,,Grenada,GRD,,Latin America & Caribbean,Upper middle income,Blend,,,,
79,,Guam,GUM,,East Asia & Pacific,High income,..,,,,
80,,Guatemala,GTM,,Latin America & Caribbean,Lower middle income,IBRD,,,,
81,,Guinea,GIN,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
82,,Guinea-Bissau,GNB,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
83,,Guyana,GUY,,Latin America & Caribbean,Upper middle income,IDA,HIPC,,,
84,,Haiti,HTI,,Latin America & Caribbean,Low income,IDA,HIPC,,,
85,,Honduras,HND,,Latin America & Caribbean,Lower middle income,IDA,HIPC,,,
86,,"Hong Kong SAR, China",HKG,,East Asia & Pacific,High income,..,,,,
87,,Hungary,HUN,,Europe & Central Asia,High income,..,,,,
88,,Iceland,ISL,,Europe & Central Asia,High income,..,,,,
89,,India,IND,,South Asia,Lower middle income,IBRD,,,,
90,,Indonesia,IDN,,East Asia & Pacific,Lower middle income,IBRD,,,,
