Hour,start_time.1,Day,riders,end_station_name,start_station_name,start_time.3
0,84,84,84,84,84,84
1,17,17,17,17,17,17
2,24,24,24,24,24,24
3,7,7,7,7,7,7
4,81,81,81,81,81,81
5,170,170,170,170,170,170
6,239,239,239,239,239,239
7,289,289,289,289,289,289
8,311,311,311,311,311,311
9,315,315,315,315,315,315
10,323,323,323,323,323,323
11,323,323,323,323,323,323
12,332,332,332,332,332,332
13,325,325,325,325,325,325
14,315,315,315,315,315,315
15,333,333,333,333,333,333
16,338,338,338,338,338,338
17,327,327,327,327,327,327
18,323,323,323,323,323,323
19,307,307,307,307,307,307
20,269,269,269,269,269,269
21,250,250,250,250,250,250
22,184,184,184,184,184,184
23,122,122,122,122,122,122
